City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,hadibu,12.65,54.0333,26.74,69,33,13.67,YE,1690268966
161,tazacorte,28.629,-17.9293,22.54,85,75,5.14,ES,1690268966
162,aasiaat,68.7098,-52.8699,2.92,93,100,3.69,GL,1690268967
163,tukrah,32.5341,20.5791,32.27,44,0,3.85,LY,1690268967
164,kalmunai,7.4167,81.8167,33.06,49,100,2.65,LK,1690268968
165,hun,29.1268,15.9477,33.83,19,0,1.66,LY,1690268682
166,blackmans bay,-43.0167,147.3167,11.4,70,72,2.11,AU,1690268968
167,nazarovo,56.0064,90.3914,18.57,86,100,3.18,RU,1690268969
168,saldanha,-33.0117,17.9442,9.61,70,0,4.2,ZA,1690268969
169,floro,61.5996,5.0328,14.04,82,75,6.69,NO,1690268970
170,belel,7.05,14.4333,18.53,88,75,0.96,CM,1690268970
171,ribeira grande,38.5167,-28.7,21.22,88,75,2.68,PT,1690268970
172,mehendiganj,22.8167,90.5333,32.18,64,20,7.32,BD,1690268971
173,stony plain,53.5334,-114.0021,18.23,87,100,7.2,CA,1690268971
174,santa terezinha,-29.9002,-50.0904,17.11,98,100,1.82,BR,1690268972
175,yssingeaux,45.1333,4.1167,14.7,71,88,3.61,FR,1690268972
176,christchurch,-43.5333,172.6333,8.84,93,100,2.24,NZ,1690268925
177,hermanus,-34.4187,19.2345,10.41,61,0,2.57,ZA,1690268973
178,qingyuan,23.7,113.0333,36.99,47,75,1.65,CN,1690268974
179,la foa,-21.7108,165.8276,19.4,75,94,4.79,NC,1690268974
180,grand falls-windsor,48.9332,-55.6649,18.06,90,68,2.75,CA,1690268974
181,tindouf,27.6711,-8.1474,29.07,27,0,4.12,DZ,1690268975
182,tamanrasset,22.785,5.5228,28.95,12,0,3.09,DZ,1690268975
183,seminole,28.7086,-81.2081,25.71,89,0,3.6,US,1690268976
184,labrador city,52.9463,-66.9114,13.86,80,46,1.79,CA,1690268976
185,bredasdorp,-34.5322,20.0403,8.4,67,0,1.53,ZA,1690268976
186,vadso,70.0744,29.7487,10.09,93,75,7.72,NO,1690268977
187,clarence town,-32.5833,151.7833,17.14,88,71,1.7,AU,1690268978
188,north bend,43.4065,-124.2243,17.7,100,100,2.06,US,1690268707
189,cravinhos,-21.3403,-47.7294,13.4,58,3,1.85,BR,1690268879
190,ust-nera,64.5667,143.2,20.39,66,48,3.02,RU,1690268979
191,punta arenas,-53.15,-70.9167,-2.09,89,54,1.98,CL,1690268980
192,balkanabat,39.5108,54.3671,35.09,35,5,5.28,TM,1690268958
193,bodaybo,57.8506,114.1933,29.54,38,6,2.47,RU,1690268981
194,beloyarskiy,63.7119,66.6722,25.56,50,100,1.25,RU,1690268981
195,bodo,67.28,14.405,18.03,84,0,2.57,NO,1690268981
196,kutum,14.2,24.6667,28.39,42,52,8.33,SD,1690268982
197,kolonia town,6.964,158.206,28.0,89,100,0.0,FM,1690268982
198,gaiman,-43.2897,-65.4929,7.58,54,99,12.97,AR,1690268983
199,birobidzhan,48.8,132.95,26.41,73,23,3.26,RU,1690268983
200,usinsk,65.9939,57.5281,22.75,47,8,1.56,RU,1690268984
201,salinopolis,-0.6136,-47.3561,25.61,83,5,2.37,BR,1690268804
202,veinticinco de mayo,-35.4323,-60.1727,2.21,95,7,0.89,AR,1690268985
